ra dec zspec source id
150.191238 2.109648 2.1755 zDEEP 768621
150.194275 2.135422 2.585 zDEEP 1017899
150.195694 2.101392 2.573 zDEEP 768105
150.196487 2.295694 2.0113 zDEEP 1245641
150.200119 2.026491 2.1472 zDEEP 780899
150.202652 2.109306 2.1817 zDEEP 768660
150.206543 2.056318 2.2712 zDEEP 776319
150.20726 2.015293 2.2197 zDEEP 782854
150.208405 1.989533 2.234 zDEEP 786382
150.208862 2.225652 2.4385 zDEEP 1004062
150.209793 1.986636 2.231 zDEEP 786883
150.210281 2.17698 2.4128 zDEEP 1011630
150.21138 2.322889 2.4657 zDEEP 1241520
150.211578 1.969312 2.1163 zDEEP 789705
150.216873 2.080795 2.2392 zDEEP 772354
150.219849 1.979377 2.2622 zDEEP 787002
150.227829 1.996991 2.5754 zDEEP 759875
150.230804 2.315288 2.4088 zDEEP 1218262
150.232605 2.146517 2.472 zDEEP 990733
150.234711 2.132479 2.2191 zDEEP 992928
150.235443 2.215851 2.0136 zDEEP 979967
150.235519 2.361755 2.5007 zDEEP 1210099
150.237854 2.137061 2.5641 zDEEP 992034
150.241989 2.174005 2.2233 zDEEP 986447
150.242676 2.358366 2.27 zDEEP -99
150.2435 2.180645 2.2221 zDEEP 985408
150.247665 1.963539 2.2419 zDEEP 765381
150.251892 2.270464 2.1035 zDEEP 971721
150.251907 2.181616 2.0547 zDEEP 984575
150.252487 1.98027 2.2239 zDEEP 762715
150.253784 2.324248 2.4685 zDEEP 1216968
150.253784 2.291126 2.4696 zDEEP 969124
150.25473 2.109923 2.0514 zDEEP 743237
150.259796 2.283164 2.5128 zDEEP 970330
150.26178 2.251375 2.1003 zDEEP 974581
150.262009 1.974025 2.2159 zDEEP 763632
150.262054 2.019667 2.4099 zDEEP 756932
150.263504 1.998686 2.1888 zDEEP 759813
150.264755 2.113352 2.5697 zDEEP 742755
150.268311 1.967824 2.546 zDEEP 764658
150.269257 2.088442 2.1768 zDEEP 746400
150.271484 2.244809 2.5003 zDEEP 975515
150.277069 2.344829 2.1531 zDEEP 1213506
150.278625 2.273104 2.5337 zDEEP 971555
150.278915 2.215206 2.1464 zDEEP 980131
150.280411 1.953006 2.2451 zDEEP 520282
150.280899 2.249531 2.5748 zDEEP 974987
150.284149 2.307642 2.0408 zDEEP 1219369
150.286438 1.936287 2.0572 zDEEP 522898
150.289154 2.064663 2.341 zDEEP -99
150.289719 2.177955 2.597 zDEEP 985955
150.290161 2.168873 2.1473 zDEEP 987255
150.292145 2.17609 2.0991 zDEEP -99
150.294067 2.15732 2.0974 zDEEP 989049
150.294785 2.360982 2.1609 zDEEP 1211156
150.295975 2.345384 2.4673 zDEEP 1213144
150.29744 2.364072 2.3452 zDEEP 1210503
150.301743 1.973212 2.5354 zDEEP 763890
150.303864 2.103946 2.161 zDEEP 744046
150.304153 2.160311 2.0993 zDEEP 988051
150.304276 2.337578 2.452 zDEEP 1214598
150.305939 2.195693 2.3254 zDEEP 983032
150.30629 2.27179 2.5796 zDEEP 971698
150.308151 1.966763 2.3044 zDEEP 764850
150.309402 2.297401 2.5969 zDEEP 1220852
150.316498 2.278801 2.5777 zDEEP -99
150.319153 2.225037 2.4936 zDEEP 978537
150.332489 2.239163 2.4926 zDEEP 975788
150.334976 2.366532 2.315 zDEEP 1210202
150.3358 2.292524 2.2179 zDEEP 993875
150.33786 2.237913 2.4924 zDEEP 976310
150.341919 2.190741 2.3498 zDEEP 983893
150.342224 2.07912 2.416 zDEEP 746903
150.34259 2.150933 2.1 zDEEP 990021
150.354355 2.352673 2.4537 zDEEP 1212409
150.355682 2.148273 2.0318 zDEEP 990411
150.356842 2.120517 2.0354 zDEEP 741809
150.357941 2.041451 2.479 zDEEP 752870
150.360458 2.055922 2.4429 zDEEP 751394
150.360809 2.05867 2.4257 zDEEP 751075
150.372589 2.021062 2.4117 zDEEP 757011
150.373108 2.255713 2.149 zDEEP 974046
150.376175 2.107647 2.0102 zDEEP 743435
150.376236 2.129261 2.0501 zDEEP 993381
150.377304 2.257811 2.198 zDEEP 973749
150.37738 2.311787 2.1467 zDEEP 1218745
150.380508 2.274523 2.1986 zDEEP 971142
150.384003 2.338121 2.5092 zDEEP 1214641
150.38414 2.269107 2.4798 zDEEP 971821
150.384705 2.190523 2.5001 zDEEP 983910
150.393784 2.194606 2.0381 zDEEP 983281
150.401794 1.938208 2.4013 zDEEP 498925
150.408066 2.165059 2.4117 zDEEP 962541
150.410187 2.182451 2.485 zDEEP 959847
150.410522 2.071246 2.3399 zDEEP 725405
150.41423 1.96508 2.2297 zDEEP 739921
150.422119 1.945215 2.2192 zDEEP 497777
150.423782 2.061045 2.0988 zDEEP 725015
150.4254 2.162422 2.5496 zDEEP 962964
150.428284 2.029667 2.0967 zDEEP 730934
150.428329 1.93687 2.5514 zDEEP 499256
150.436951 2.051972 2.2491 zDEEP 727912
150.438492 2.204765 2.4763 zDEEP 956468
150.438583 2.255938 2.4799 zDEEP 948952
150.439743 2.239087 2.1581 zDEEP 951466
150.441772 2.219848 2.5727 zDEEP 954027
150.442001 2.000886 2.3516 zDEEP 734836
150.444595 1.958226 2.2736 zDEEP 496201
150.447357 1.982669 2.3746 zDEEP 737537
150.44812 2.176381 2.5997 zDEEP 960846
150.449539 2.081252 2.2457 zDEEP 723500
150.452728 2.349042 2.2804 zDEEP 1189806
150.453171 2.064973 2.3348 zDEEP 726170
150.453552 2.006364 2.4788 zDEEP 733838
150.454391 2.277814 2.2652 zDEEP 945731
150.454453 2.085872 2.0872 zDEEP 722954
150.455597 2.108145 2.1764 zDEEP 720040
150.458267 1.97387 2.4855 zDEEP 738753
150.459793 2.147234 2.0023 zDEEP 965409
150.46109 2.122625 2.0099 zDEEP 740739
150.462067 2.297345 2.0159 zDEEP 1196871
150.462738 2.174337 2.3166 zDEEP 960923
150.46373 2.257836 2.1519 zDEEP 948673
150.464661 1.962296 2.3623 zDEEP 740401
150.465546 2.240985 2.4761 zDEEP 951186
150.465607 2.367224 2.0165 zDEEP 1187230
150.466492 2.343694 2.0158 zDEEP 1190641
150.467377 2.048567 2.563 zDEEP 728372
150.467468 2.182942 2.5139 zDEEP 959666
150.467712 2.037298 2.0216 zDEEP 729908
150.469086 2.292741 2.1531 zDEEP 968730
150.470886 2.139676 2.148 zDEEP 966542
150.472885 2.188847 2.5789 zDEEP 958886
150.477646 2.227479 2.205 zDEEP 953105
150.488739 2.361322 2.1473 zDEEP 1187761
150.500412 2.356565 2.0042 zDEEP 1188377
150.505386 2.237835 2.1909 zDEEP 951611
150.509796 2.013374 2.3579 zDEEP 733151
150.516129 2.118638 2.1475 zDEEP 718416
150.518295 2.120684 2.158 zDEEP 718195
150.518936 1.964036 2.1042 zDEEP 739772
150.520599 1.981722 2.083 zDEEP 736760
150.521469 2.343806 2.5992 zDEEP 1190616
150.521759 2.052717 2.0725 zDEEP 727829
150.525131 2.267538 2.5819 zDEEP 947225
150.526443 1.960473 2.2127 zDEEP 740677
150.527176 2.270973 2.1993 zDEEP 946712
150.529907 2.065785 2.396 zDEEP 726065
150.530411 2.007468 2.3267 zDEEP 733933
150.539261 2.327599 2.5329 zDEEP 1193021
150.542877 2.090557 2.2231 zDEEP 722477
150.566574 1.948599 2.2854 zDEEP 475471
150.571671 2.292927 2.5738 zDEEP 1150005
150.574341 2.064583 2.3277 zDEEP 702137
150.574432 2.179411 2.2296 zDEEP 935821
150.576736 2.124564 2.2375 zDEEP 717300
150.576904 2.114508 2.3262 zDEEP 694476
150.577362 2.052008 2.0292 zDEEP 703819
150.581345 2.005025 2.2875 zDEEP 710498
150.583527 2.283718 2.3263 zDEEP 920865
150.598404 2.141423 2.3361 zDEEP -99
150.60054 2.058656 2.0318 zDEEP 702887
150.603851 2.314758 2.4602 zDEEP 1171249
150.605438 2.262031 2.1894 zDEEP 923780
150.606125 1.981537 2.1452 zDEEP 714075
150.10273743 2.18377852 2.19792 3DHST 419
150.10473633 2.18741131 2.02225 3DHST 691
150.09532166 2.19557595 2.58766 3DHST 1556
150.12553406 2.19913578 2.49908 3DHST 1928
150.12586975 2.19932294 2.32676 3DHST 1966
150.13163757 2.20055699 2.23006 3DHST 2062
150.14758301 2.20106006 2.02225 3DHST 2140
150.13891602 2.20285606 2.06792 3DHST 2331
150.18310547 2.21020412 2.13303 3DHST 3045
150.18757629 2.20975876 2.55907 3DHST 3050
150.16807556 2.21129632 2.17561 3DHST 3179
150.1569519 2.2128818 2.08484 3DHST 3350
150.12181091 2.2132237 2.17402 3DHST 3364
150.06626892 2.21484447 2.54664 3DHST 3577
150.13386536 2.21548843 2.01169 3DHST 3648
150.09837341 2.21527624 2.1299 3DHST 3653
150.07449341 2.21572804 2.37873 3DHST 3694
150.12654114 2.21748114 2.1003 3DHST 3897
150.12165833 2.22057366 2.00266 3DHST 4158
150.12037659 2.22126698 2.16135 3DHST 4292
150.1270752 2.22325206 2.55729 3DHST 4453
150.11726379 2.22389054 2.03133 3DHST 4502
150.08966064 2.22354913 2.07714 3DHST 4504
150.09757996 2.22424889 2.08947 3DHST 4566
150.07174683 2.22721672 2.10341 3DHST 4870
150.08766174 2.22896719 2.13146 3DHST 5012
150.18276978 2.23008299 2.09411 3DHST 5083
150.084198 2.22975111 2.12208 3DHST 5117
150.18089294 2.23046398 2.01621 3DHST 5148
150.15750122 2.23015451 2.14873 3DHST 5152
150.18434143 2.23133659 2.19153 3DHST 5250
150.18666077 2.2319591 2.17402 3DHST 5283
150.05427551 2.23317719 2.10962 3DHST 5355
