clamato_id ra dec zspec source id gmag rmag imag tomo_flag arcsec_to_COSMOS15_photometry mstar mstar_err sfr_nuv sfr_nuv_corr sfr_nuv_corr_err
44 150.11528015 2.24191332 2.22381 MOSDEF 6283 24.187 23.872 23.76 1 0.05420326410643464 7610523691.03 1655514157.23 22.176586061564183 43.203434771661875 24.45497196830113
45 150.0958252 2.24287438 2.43819 MOSDEF 6379 -99.0 -99.0 -99.0 1 0.42970874602135883 4263748662.16 2052620137.8 7.801253098441436 15.295675950643174 10.043968206842969
46 150.09602356 2.24298048 2.09985 MOSDEF 6417 -99.0 -99.0 -99.0 1 0.4002983272985035 2834090807.56 1490846358.98 5.801184139628282 11.059602935158429 7.421678003652418
47 150.07247925 2.24376678 2.43756 MOSDEF 6425 26.376 26.292 25.926 1 0.05540984386560022 54455272143.3 18950518991.7 2.6982290266116706 15.794955040894143 3.981510521891222
48 150.0627594 2.24773169 2.43507 MOSDEF 6826 25.909 25.31 25.134 1 0.02866849352685505 8596490272.75 4010098737.5 4.367302928096407 14.363274119764503 6.3419380619260926
49 150.1448822 2.24817467 2.15233 MOSDEF 6889 -99.0 -99.0 -99.0 1 1.4641722089483162 130957367195.0 32661586832.0 50.432190104639545 128.6948238978201 73.48359972888441
50 150.07658386 2.24968266 2.30134 MOSDEF 6963 25.372 25.071 24.961 1 0.10549160286106389 58447007705.5 19361489558.8 5.103374117256195 20.483622624988307 8.463459832785947
51 150.11836243 2.25172544 2.22362 MOSDEF 7160 25.3 25.199 25.046 1 0.0866620204948678 3504531720.34 1743474783.04 4.691023360903758 9.48636291527396 6.21583468520729
52 150.10333252 2.25850582 2.43991 MOSDEF 7735 24.529 24.01 23.932 1 0.04454048002967932 9897863859.89 3425023975.77 13.047802570534843 32.91686510919159 16.007755016220365
53 150.1104126 2.25861549 2.45087 MOSDEF 7747 25.697 25.383 25.28 1 0.07095922284963947 3864342069.56 1966532512.03 4.8346397157935215 10.60473433008059 6.491909961697239
54 150.135849 2.25997376 2.15277 MOSDEF 7883 24.834 24.683 24.651 1 0.06782811167245044 2568939657.97 1367742602.54 5.901658309921189 9.19153668851417 7.304395329360839
